source,target,type,weight,evidence
project:3d-gaussian-splatting-for-real-time-radiance-field-rendering,venue:acm-digital-library,PUBLISHED_AT,1.0,url_paper=doi.org
project:3d-printing-of-tissue-engineering-scaffolds-a-focus-on-vascular-regeneration,venue:springer,PUBLISHED_AT,1.0,url_paper=doi.org
project:3d-slicer,venue:slicer,PUBLISHED_AT,1.0,url_primary=www.slicer.org
project:3df-zephyr,venue:3dflow,PUBLISHED_AT,1.0,url_primary=www.3dflow.net
project:3dfy-prompt,venue:prnewswire,PUBLISHED_AT,1.0,url_primary=www.prnewswire.com
project:a-century-of-robotic-hands,venue:annual-reviews,PUBLISHED_AT,1.0,url_paper=doi.org
project:a-dataset-for-deep-learning-based-detection-of-printed-circuit-board-surface-def,venue:nature-portfolio,PUBLISHED_AT,1.0,url_paper=doi.org
project:a-deep-convolutional-generative-adversarial-networks-based-method-for-defect-det,venue:mdpi,PUBLISHED_AT,1.0,url_paper=doi.org
project:a-deep-learning-based-model-for-defect-detection-in-laser-powder-bed-fusion-usin,venue:springer,PUBLISHED_AT,1.0,url_paper=doi.org
project:a-deep-learning-model-for-steel-surface-defect-detection,venue:springer,PUBLISHED_AT,1.0,url_paper=doi.org
project:a-foundation-model-for-atomistic-materials-chemistry,venue:arxiv,PUBLISHED_AT,1.0,url_paper=doi.org
project:a-framework-for-tool-wear-and-remaining-useful-life-prediction-in-machining-proc,venue:springer,PUBLISHED_AT,1.0,url_paper=doi.org
project:a-hierarchical-neural-network-for-point-cloud-segmentation-and-geometric-primiti,venue:mdpi,PUBLISHED_AT,1.0,url_paper=doi.org
project:a-lab,venue:nature-portfolio,PUBLISHED_AT,1.0,url_primary=www.nature.com
project:a-multi-fidelity-bayesian-optimization-approach-based-on-the-expected-further-im,venue:springer,PUBLISHED_AT,1.0,url_paper=doi.org
project:a-multi-modal-pre-training-transformer-for-universal-transfer-learning-in-metalo,venue:nature-portfolio,PUBLISHED_AT,1.0,url_paper=doi.org
project:a-neural-operator-unifying-graph-neural-networks-and-point-transformers,venue:ieee-xplore,PUBLISHED_AT,1.0,url_paper=doi.org
project:a-new-approach-for-automated-measuring-of-the-melt-pool-geometry-in-laser-powder,venue:springer,PUBLISHED_AT,1.0,url_paper=doi.org
project:a-novel-computational-paradigm-for-reconstructing-solid-cad-features-from-a-segm,venue:mdpi,PUBLISHED_AT,1.0,url_paper=doi.org
project:a-parametric-and-feature-based-cad-dataset-to-support-human-computer-interaction,venue:ios-press,PUBLISHED_AT,1.0,url_paper=doi.org
