source,target,type,weight,evidence,reason
project:adaptive-fourier-neural-operators-efficient-token-mixers-for-transformers,project:adaptive-fourier-neural-operators-efficient-token-mixers-forn-transformers,SEMANTICALLY_NEAR,0.978,cosine=0.978,sibling-pair (likely dup record)
project:creo-generative-design,project:creo-generative-design-topology,SEMANTICALLY_NEAR,0.9259,cosine=0.926,sibling-pair (likely dup record)
project:inverse-design-of-a-topological-phononic-beam-with-interface-modes,project:inverse-design-of-phononic-crystals-for-anticipated-wave-propagation-by-integrat,SEMANTICALLY_NEAR,0.8345,cosine=0.835,sibling-pair (likely dup record)
project:nx-generative-design,project:nx-generative-design-topology,SEMANTICALLY_NEAR,0.9461,cosine=0.946,sibling-pair (likely dup record)
project:one-2-3-45-any-single-image-to-3d-mesh-in-45-seconds-without-per-shape-optimizat,project:one-2-3-45-fast-single-image-to-3d-objects-with-consistent-multi-view-generation,SEMANTICALLY_NEAR,0.8461,cosine=0.846,sibling-pair (likely dup record)
project:physics-informed-neural-networks-for-inverse-problems-in-supersonic-flows,project:physics-informed-neural-networks-for-solving-reynolds-averaged-navierstokes-equa,SEMANTICALLY_NEAR,0.828,cosine=0.828,sibling-pair (likely dup record)
project:rescale-ai-physics,project:rescale-ai-physics-powered-by-nvidia,SEMANTICALLY_NEAR,0.916,cosine=0.916,sibling-pair (likely dup record)
project:siemens-industrial-copilot-engineering,project:siemens-industrial-copilot-operations,SEMANTICALLY_NEAR,0.8658,cosine=0.866,sibling-pair (likely dup record)
project:solid-edge-generative-design,project:solid-edge-generative-design-topology,SEMANTICALLY_NEAR,0.9629,cosine=0.963,sibling-pair (likely dup record)
project:a-hierarchical-neural-network-for-point-cloud-segmentation-and-geometric-primiti,project:spfn-supervised-fitting-of-geometric-primitives-to-3d-point-clouds,BENCHMARKED_AGAINST,1.0,outperforms Supervised Primitive Fitting Network (SPFN) by 18.5%,bidirectional
project:spfn-supervised-fitting-of-geometric-primitives-to-3d-point-clouds,project:a-hierarchical-neural-network-for-point-cloud-segmentation-and-geometric-primiti,BENCHMARKED_AGAINST,1.0,significant improvement over both strong RANSAC baselines,bidirectional
project:allegro,project:nequip,BUILT_ON,1.0,a follow-on from NequIP from the Kozinsky lab,bidirectional
project:nequip,project:allegro,BUILT_ON,1.0,foundation for the Allegro and MACE follow-ons,bidirectional
project:automatic-detection-and-classification-of-defective-areas-on-metal-parts-by-usin,project:enhanced-faster-region-convolutional-neural-networks-for-steel-surface-defect-de,CITES,1.0,Faster Regional Convolutional Neural Network (Faster R-CNN),bidirectional
project:enhanced-faster-region-convolutional-neural-networks-for-steel-surface-defect-de,project:automatic-detection-and-classification-of-defective-areas-on-metal-parts-by-usin,CITES,1.0,a deep learning defects detection method based on Faster Region Convolutional Neural Networks (Faster R-CNN) is proposed,bidirectional
project:automatic-detection-and-classification-of-defective-areas-on-metal-parts-by-usin,project:development-and-improvement-of-deep-learning-based-automated-defect-detection-fo,CITES,1.0,Faster Regional Convolutional Neural Network (Faster R-CNN),bidirectional
project:development-and-improvement-of-deep-learning-based-automated-defect-detection-fo,project:automatic-detection-and-classification-of-defective-areas-on-metal-parts-by-usin,CITES,1.0,using faster region-based convolutional neural network (faster R-CNN),bidirectional
project:ax,project:botorch,BUILT_ON,1.0,"Bayesian optimization in Ax is powered by BoTorch , a modern library for Bayesian optimization research",bidirectional
project:botorch,project:ax,BUILT_ON,1.0,We recommend using BoTorch as a low-level API for implementing new algorithms for Ax,bidirectional
project:cadence-cerebrus,project:cadence-cerebrus-ai-studio,BUILT_ON,1.0,Cerebrus is now a mature commercial product in the Cadence AI portfolio,bidirectional
project:cadence-cerebrus-ai-studio,project:cadence-cerebrus,BUILT_ON,1.0,"multi-design, multi-user evolution of the original Cerebrus optimization engine",bidirectional
project:deep-learning-aided-topology-optimization-of-phononic-crystals,project:deep-learning-for-topology-optimization-of-2d-metamaterials,CITES,1.0,topology optimization of phononic crystals based on the replacement of traditional solvers with a surrogate deep learning model,bidirectional
project:deep-learning-for-topology-optimization-of-2d-metamaterials,project:deep-learning-aided-topology-optimization-of-phononic-crystals,CITES,1.0,existing data-driven models customarily address the optimization of structural designs rather than metamaterial designs,bidirectional
project:deepcad,project:skexgen,BUILT_ON,1.0,"most subsequent neural-CAD papers (SkexGen, ComplexGen, BRepGen, CAD-MLLM) reuse",bidirectional
project:skexgen,project:deepcad,BUILT_ON,1.0,SkexGen extends DeepCAD's autoregressive program-CAD paradigm,bidirectional
project:deepxde,project:pinn-original,CITES,1.0,DeepXDE is the most-used open-source library for PINNs and DeepONet,bidirectional
project:pinn-original,project:deepxde,CITES,1.0,"spawned the entire scientific-ML field including DeepXDE, NVIDIA Modulus, and dozens of variants (VPINN, XPINN, fPINN, BC-PINN)",bidirectional
project:dfmpro,project:dfmpro-for-solidworks,BUILT_ON,1.0,"DFMPro by HCLTech is a long-running CAD plugin (Solidworks, NX, Creo)",bidirectional
project:dfmpro-for-solidworks,project:dfmpro,BUILT_ON,1.0,DFMPro for SOLIDWORKS is a 2024 commercial product from HCLTech,bidirectional
project:diffeqfluxjl,project:differentialequationsjl,BUILT_ON,1.0,DiffEqFlux.jl is an implicit deep learning library built using the SciML ecosystem,bidirectional
project:differentialequationsjl,project:diffeqfluxjl,BUILT_ON,1.0,DifferentialEquations.jl integrates with the Julia package sphere,bidirectional
project:directional-message-passing-for-molecular-graphs,project:gemnet-universal-directional-graph-neural-networks-for-molecules,CITES,1.0,DimeNet outperforms previous GNNs on average by 76% on MD17 and by 31% on QM9,bidirectional
project:gemnet-universal-directional-graph-neural-networks-for-molecules,project:directional-message-passing-for-molecular-graphs,CITES,1.0,We then discretize such GNNs via directed edge embeddings and two-hop message passing,bidirectional
project:domain-randomization-for-transferring-deep-neural-networks-from-simulation-to-th,project:sim-to-real-transfer-of-robotic-control-with-dynamics-randomization,CITES,1.0,"domain randomization, a simple technique for training models on simulated images that transfer to real images",bidirectional
project:sim-to-real-transfer-of-robotic-control-with-dynamics-randomization,project:domain-randomization-for-transferring-deep-neural-networks-from-simulation-to-th,CITES,1.0,randomizing the dynamics of the simulator during training,bidirectional
project:dreamplace,project:google-circuit-training,BUILT_ON,1.0,"used well beyond the original paper, including as a standard-cell placement backend in Google's Circuit Training stack",bidirectional
project:google-circuit-training,project:dreamplace,BUILT_ON,1.0,support for DREAMPlace as the standard-cell placer,bidirectional
project:efficient-global-optimization-of-expensive-black-box-functions,project:multi-fidelity-efficient-global-optimization-methodology-and-application-to-airf,CITES,1.0,"response surface methodology that is especially good at modeling nonlinear, multimodal functions",bidirectional
project:multi-fidelity-efficient-global-optimization-methodology-and-application-to-airf,project:efficient-global-optimization-of-expensive-black-box-functions,CITES,1.0,The new developments are based on Bayesian optimization and kriging metamodeling,bidirectional
project:extended-physics-informed-neural-networks-xpinns-a-generalized-space-time-domain,project:pinn-original,CITES,1.0,"both PINNs as well as conservative PINNs (cPINNs), which is a recently proposed domain decomposition approach in the PINN framework",bidirectional
project:pinn-original,project:extended-physics-informed-neural-networks-xpinns-a-generalized-space-time-domain,CITES,1.0,"spawned the entire scientific-ML field including DeepXDE, NVIDIA Modulus, and dozens of variants (VPINN, XPINN, fPINN, BC-PINN)",bidirectional
project:fno,project:u-fno-an-enhanced-fourier-neural-operator-based-deep-learning-model-for-multipha,BUILT_ON,1.0,"FNO and its descendants (F-FNO, U-FNO, GINO, PINO) underpin most modern physics-surrogate products",bidirectional
project:u-fno-an-enhanced-fourier-neural-operator-based-deep-learning-model-for-multipha,project:fno,BUILT_ON,1.0,U-FNO is designed based on the newly proposed Fourier neural operator (FNO),bidirectional
project:fno,project:gino,BUILT_ON,1.0,"FNO and its descendants (F-FNO, U-FNO, GINO, PINO) underpin most modern physics-surrogate products",bidirectional
project:gino,project:fno,BUILT_ON,1.0,GINO extends FNO to large-scale 3D PDE problems on irregular domains,bidirectional
project:fno,project:pino,BUILT_ON,1.0,"FNO and its descendants (F-FNO, U-FNO, GINO, PINO) underpin most modern physics-surrogate products",bidirectional
project:pino,project:fno,BUILT_ON,1.0,PINO combines the FNO architecture with physics-informed losses,bidirectional
project:fourcastnet,project:graphcast,BENCHMARKED_AGAINST,1.0,remains a reference baseline alongside GraphCast and Pangu-Weather,bidirectional
project:graphcast,project:fourcastnet,BENCHMARKED_AGAINST,1.0,beating the operational ECMWF IFS system on most metrics,bidirectional
project:fpinns-fractional-physics-informed-neural-networks,project:pinn-original,CITES,1.0,"Physics-informed neural networks (PINNs), introduced in [M. Raissi, P. Perdikaris, and G. Karniadakis, J. Comput. Phys., 378 (2019)",bidirectional
project:pinn-original,project:fpinns-fractional-physics-informed-neural-networks,CITES,1.0,"spawned the entire scientific-ML field including DeepXDE, NVIDIA Modulus, and dozens of variants (VPINN, XPINN, fPINN, BC-PINN)",bidirectional
