source,target,type,weight,evidence
project:a-deep-learning-based-model-for-defect-detection-in-laser-powder-bed-fusion-usin,project:predicting-laser-powder-bed-fusion-defects-through-in-process-monitoring-data-an,SEMANTICALLY_NEAR,0.8227,cosine=0.823
project:a-deep-learning-model-for-steel-surface-defect-detection,project:cascading-convolutional-neural-network-for-steel-surface-defect-detection,SEMANTICALLY_NEAR,0.8324,cosine=0.832
project:a-framework-for-tool-wear-and-remaining-useful-life-prediction-in-machining-proc,project:tool-remaining-useful-life-prediction-using-feature-extraction-and-machine-learn,SEMANTICALLY_NEAR,0.8457,cosine=0.846
project:a-new-approach-for-automated-measuring-of-the-melt-pool-geometry-in-laser-powder,project:investigation-of-deep-learning-for-real-time-melt-pool-classification-in-additiv,SEMANTICALLY_NEAR,0.8262,cosine=0.826
project:adam-cad,project:adamcad,SEMANTICALLY_NEAR,0.8981,cosine=0.898
project:adaptive-fourier-neural-operators-efficient-token-mixers-for-transformers,project:adaptive-fourier-neural-operators-efficient-token-mixers-forn-transformers,SEMANTICALLY_NEAR,0.978,cosine=0.978
project:additive-manufacturing-a-machine-learning-model-of-process-structure-property-li,project:additive-manufacturing-application-and-validation-of-machine-learning-based-proc,SEMANTICALLY_NEAR,0.903,cosine=0.903
project:alpha3d,project:alpha3d-2d-drawing-to-3d,SEMANTICALLY_NEAR,0.8849,cosine=0.885
project:alpha3d,project:alpha3d-game-asset-generation,SEMANTICALLY_NEAR,0.9514,cosine=0.951
project:alpha3d-2d-drawing-to-3d,project:alpha3d-game-asset-generation,SEMANTICALLY_NEAR,0.8305,cosine=0.830
project:autobrep-autoregressive-b-rep-generation-with-unified-topology-and-geometry,project:brepgen-a-b-rep-generative-diffusion-model-with-structured-latent-geometry,SEMANTICALLY_NEAR,0.8346,cosine=0.835
project:autopcb,project:pcb-designer-ai,SEMANTICALLY_NEAR,0.824,cosine=0.824
project:backflip-ai,project:backflip-onshape-plugin,SEMANTICALLY_NEAR,0.9225,cosine=0.923
project:brepgen-a-b-rep-generative-diffusion-model-with-structured-latent-geometry,project:solidgen-an-autoregressive-model-for-direct-b-rep-synthesis,SEMANTICALLY_NEAR,0.8279,cosine=0.828
project:cad-llama-leveraging-large-language-models-for-computer-aided-design-parametric,project:large-language-models-for-computer-aided-design-a-survey,SEMANTICALLY_NEAR,0.8265,cosine=0.827
project:cad-recode-reverse-engineering-cad-code-from-point-clouds,project:point2cad-reverse-engineering-cad-models-from-3d-point-clouds,SEMANTICALLY_NEAR,0.8408,cosine=0.841
project:cadence-cerebrus,project:cadence-cerebrus-ai-studio,SEMANTICALLY_NEAR,0.878,cosine=0.878
project:cascading-convolutional-neural-network-for-steel-surface-defect-detection,project:enhanced-faster-region-convolutional-neural-networks-for-steel-surface-defect-de,SEMANTICALLY_NEAR,0.8453,cosine=0.845
project:catia-ai-driven-generative-experiences,project:catia-performance-driven-generative-design,SEMANTICALLY_NEAR,0.9378,cosine=0.938
project:conformis,project:restor3d,SEMANTICALLY_NEAR,0.847,cosine=0.847
project:controllable-inverse-design-of-auxetic-metamaterials-using-deep-learning,project:diverse-3d-auxetic-unit-cell-inverse-design-with-deep-learning,SEMANTICALLY_NEAR,0.8323,cosine=0.832
project:convolutional-lstm-based-melt-pool-prediction-from-images-of-laser-tool-path-str,project:traditional-machine-learning-and-deep-learning-for-predicting-melt-pool-cross-se,SEMANTICALLY_NEAR,0.8247,cosine=0.825
project:creo-generative-design,project:creo-generative-design-topology,SEMANTICALLY_NEAR,0.9259,cosine=0.926
project:data-efficient-deep-learning-for-printed-circuit-board-defect-detection-using-x,project:deep-learning-based-solder-joint-defect-detection-on-industrial-printed-circuit,SEMANTICALLY_NEAR,0.8301,cosine=0.830
