source,target,type,weight,evidence
project:3d-printing-of-tissue-engineering-scaffolds-a-focus-on-vascular-regeneration,project:machine-learning-based-topology-optimization-in-3d-printing,CITES,1.0,"four trends of 3D printing of tissue engineering vascular scaffolds are presented, including machine learning"
project:a-foundation-model-for-atomistic-materials-chemistry,project:mace,BUILT_ON,1.0,We demonstrate the power of the MACE-MP-0 model - and its qualitative and at times quantitative accuracy
project:a-hierarchical-neural-network-for-point-cloud-segmentation-and-geometric-primiti,project:spfn-supervised-fitting-of-geometric-primitives-to-3d-point-clouds,BENCHMARKED_AGAINST,1.0,our approach outperforms Supervised Primitive Fitting Network (SPFN) by 18.5%
project:a-parametric-and-feature-based-cad-dataset-to-support-human-computer-interaction,project:histcad-geometrically-constrained-parametric-history-based-cad-dataset,BENCHMARKED_AGAINST,1.0,The experiments show that the proposed dataset outperforms existing CAD datasets in both reconstruction and generation tasks.
project:abc-dataset,project:amazon-berkeley-objects,BENCHMARKED_AGAINST,1.0,"perform a large-scale benchmark for estimation of surface normals, comparing existing data driven methods"
project:abc-dataset,project:modelnet40,BENCHMARKED_AGAINST,1.0,"perform a large-scale benchmark for estimation of surface normals, comparing existing data driven methods"
project:accelerated-gradient-based-design-optimization-via-differentiable-physics-inform,project:pino,CITES,1.0,"Data-agnostic AI-based surrogate models, such as Physics-Informed Neural Operators (PINOs), offer a promising alternative"
project:accelerating-phase-field-simulations-through-a-hybrid-adaptive-fourier-neural-op,project:adaptive-fourier-neural-operators-efficient-token-mixers-for-transformers,CITES,1.0,"U-AFNO employs U-Nets for extracting and reconstructing local features within the physical fields, and passes the latent space through a vision transformer (ViT) implemented in the Fourier space (AFNO"
project:adaptive-fourier-neural-operators-efficient-token-mixers-for-transformers,project:fno,CITES,1.0,"This principle was previously used to design FNO, which solves global convolution efficiently in the Fourier domain and has shown promise in learning challenging PDEs."
project:adaptive-fourier-neural-operators-efficient-token-mixers-forn-transformers,project:fno,CITES,1.0,"This principle was previously used to design FNO, which solves global convolution efficiently in the Fourier domain and has shown promise in learning challenging PDEs."
project:additive-manufacturing-application-and-validation-of-machine-learning-based-proc,project:additive-manufacturing-a-machine-learning-model-of-process-structure-property-li,CITES,1.0,a novel workflow using a machine learning-based approach that combines statistical descriptors of textured AM-process induced microstructure
project:an-overview-of-learning-based-dexterous-grasping-recent-advances-and-future-dire,project:metagraspnet-v0-a-large-scale-benchmark-dataset-for-vision-driven-robotic-graspi,BENCHMARKED_AGAINST,1.0,"we introduce recent benchmark datasets and evaluation metrics. Based on these extensive benchmarks, we offer a comparative analysis of the state-of-the-art solutions."
project:an-overview-of-learning-based-dexterous-grasping-recent-advances-and-future-dire,project:graspnet-1billion-a-large-scale-benchmark-for-general-object-grasping,BENCHMARKED_AGAINST,1.0,"we introduce recent benchmark datasets and evaluation metrics. Based on these extensive benchmarks, we offer a comparative analysis of the state-of-the-art solutions."
project:analyses-of-internal-structures-and-defects-in-materials-using-physics-informed,project:pinn-original,CITES,1.0,we present a general framework based on physics-informed neural networks for identifying unknown geometric and material parameters
project:approximate-bayesian-neural-operators-uncertainty-quantification-for-parametric,project:fourier-neural-operator-for-parametric-partial-differential-equations,CITES,1.0,We extend previous results on neural operators by providing them with uncertainty quantification.
project:augmented-physics-informed-neural-networks-apinns-a-gating-network-based-soft-do,project:extended-physics-informed-neural-networks-xpinns-a-generalized-space-time-domain,BUILT_ON,1.0,improve the extended PINN (XPINN) as well as the vanilla PINN methods
project:augmented-physics-informed-neural-networks-apinns-a-gating-network-based-soft-do,project:pinn-original,BUILT_ON,1.0,improve the extended PINN (XPINN) as well as the vanilla PINN methods
project:augmented-physics-informed-neural-networks-apinns-a-gating-network-based-soft-do,project:when-do-extended-physics-informed-neural-networks-xpinns-improve-generalization,CITES,1.0,"following the PINN generalization theory (Hu et al., 2022), APINN is shown to improve generalization"
project:autobrep-autoregressive-b-rep-generation-with-unified-topology-and-geometry,project:solidgen-an-autoregressive-model-for-direct-b-rep-synthesis,BENCHMARKED_AGAINST,1.0,AutoBrep outperforms baselines with better quality and watertightness
project:automatic-detection-and-classification-of-defective-areas-on-metal-parts-by-usin,project:development-and-improvement-of-deep-learning-based-automated-defect-detection-fo,CITES,1.0,The type and location of defects were detected by the Faster Regional Convolutional Neural Network (Faster R-CNN)
project:automatic-melt-pool-tracking-and-segmentation-in-laser-powder-bed-fusion-using-x,project:spatial-temporal-modeling-using-deep-learning-for-real-time-monitoring-of-additi,CITES,1.0,Experimental results show that integrating attention mechanisms significantly improves segmentation accuracy compared to state-of-the-art methods.
project:brep2seq-a-dataset-and-hierarchical-deep-learning-network-for-reconstruction-and,project:deepcad,BENCHMARKED_AGAINST,1.0,Extensive experiments on both DeepCAD and Fusion 360 datasets demonstrate the effectiveness of Brep2Seq
project:brepgen-a-b-rep-generative-diffusion-model-with-structured-latent-geometry,project:brep2seq-a-dataset-and-hierarchical-deep-learning-network-for-reconstruction-and,BENCHMARKED_AGAINST,1.0,"BrepGen advances the task of CAD B-rep generation, surpassing existing methods on various benchmarks"
project:brepnet,project:uv-net,BENCHMARKED_AGAINST,1.0,"We demonstrate that BRepNet can segment these models with higher accuracy than methods working on meshes, and point clouds."
project:cad-llama-leveraging-large-language-models-for-computer-aided-design-parametric,project:large-language-models-for-computer-aided-design-a-survey,CITES,1.0,prompting increased interest in expanding their generative capabilities beyond general text into domain-specific areas
project:cad-llama-leveraging-large-language-models-for-computer-aided-design-parametric,project:cad-mllm,BENCHMARKED_AGAINST,1.0,our framework significantly outperforms prior autoregressive methods and existing LLM baselines
project:cad-recode-reverse-engineering-cad-code-from-point-clouds,project:deepcad,BENCHMARKED_AGAINST,1.0,"CAD-Recode significantly outperforms existing methods across the DeepCAD, Fusion360 and real-world CC3D datasets"
project:cad-signet-cad-language-inference-from-point-clouds-using-layer-wise-sketch-inst,project:secad-net-self-supervised-cad-reconstruction-by-learning-sketch-extrude-operatio,BENCHMARKED_AGAINST,1.0,Extensive experiments on publicly available CAD datasets showcase the effectiveness of our approach against existing baseline models
project:cad-signet-cad-language-inference-from-point-clouds-using-layer-wise-sketch-inst,project:point2cad-reverse-engineering-cad-models-from-3d-point-clouds,BENCHMARKED_AGAINST,1.0,Extensive experiments on publicly available CAD datasets showcase the effectiveness of our approach against existing baseline models
