source,target,type,weight,evidence
project:3d-printing-of-tissue-engineering-scaffolds-a-focus-on-vascular-regeneration,organization:harbin-institute-of-technology,BUILT_BY,1.0,structural
project:3d-printing-of-tissue-engineering-scaffolds-a-focus-on-vascular-regeneration,category:topology-optimization,IN_CATEGORY,1.0,structural
project:3d-printing-of-tissue-engineering-scaffolds-a-focus-on-vascular-regeneration,technique:physics-informed-nn,USES_TECHNIQUE,1.0,structural
project:3d-printing-of-tissue-engineering-scaffolds-a-focus-on-vascular-regeneration,technique:gan,USES_TECHNIQUE,1.0,structural
project:3d-printing-of-tissue-engineering-scaffolds-a-focus-on-vascular-regeneration,modality:mesh,CONSUMES,1.0,structural
project:3d-printing-of-tissue-engineering-scaffolds-a-focus-on-vascular-regeneration,modality:implant,PRODUCES,1.0,structural
project:3d-printing-of-tissue-engineering-scaffolds-a-focus-on-vascular-regeneration,physicsdomain:none,OPERATES_ON,1.0,structural
project:3d-printing-of-tissue-engineering-scaffolds-a-focus-on-vascular-regeneration,industry:medical,APPLIED_TO,1.0,structural
project:3d-printing-of-tissue-engineering-scaffolds-a-focus-on-vascular-regeneration,year:2021,RELEASED_IN,1.0,structural
project:3d-slicer,organization:3d-slicer,BUILT_BY,1.0,structural
project:3d-slicer,category:medical-engineering-ai,IN_CATEGORY,1.0,structural
project:3d-slicer,technique:segmentation,USES_TECHNIQUE,1.0,structural
project:3d-slicer,technique:medical-imaging,USES_TECHNIQUE,1.0,structural
project:3d-slicer,modality:ct,CONSUMES,1.0,structural
project:3d-slicer,modality:segmentation,PRODUCES,1.0,structural
project:3d-slicer,physicsdomain:none,OPERATES_ON,1.0,structural
project:3d-slicer,industry:medical,APPLIED_TO,1.0,structural
project:3d-slicer,year:2024,RELEASED_IN,1.0,structural
project:3df-zephyr,organization:3dflow,BUILT_BY,1.0,structural
project:3df-zephyr,category:image-to-cad,IN_CATEGORY,1.0,structural
project:3df-zephyr,technique:photogrammetry,USES_TECHNIQUE,1.0,structural
project:3df-zephyr,technique:dense-reconstruction,USES_TECHNIQUE,1.0,structural
project:3df-zephyr,modality:image,CONSUMES,1.0,structural
project:3df-zephyr,modality:mesh,PRODUCES,1.0,structural
project:3df-zephyr,physicsdomain:none,OPERATES_ON,1.0,structural
project:3df-zephyr,industry:manufacturing,APPLIED_TO,1.0,structural
project:3df-zephyr,industry:reverse-engineering,APPLIED_TO,1.0,structural
project:3df-zephyr,year:2023,RELEASED_IN,1.0,structural
project:3dfy-prompt,organization:3dfyai,BUILT_BY,1.0,structural
project:3dfy-prompt,category:text-to-3d,IN_CATEGORY,1.0,structural
project:3dfy-prompt,technique:3d-generation,USES_TECHNIQUE,1.0,structural
project:3dfy-prompt,modality:text,CONSUMES,1.0,structural
project:3dfy-prompt,modality:mesh,PRODUCES,1.0,structural
project:3dfy-prompt,physicsdomain:none,OPERATES_ON,1.0,structural
project:3dfy-prompt,year:2023,RELEASED_IN,1.0,structural
project:a-dataset-for-deep-learning-based-detection-of-printed-circuit-board-surface-def,organization:south-china-agricultural-university,BUILT_BY,1.0,structural
project:a-dataset-for-deep-learning-based-detection-of-printed-circuit-board-surface-def,category:pcb-design-ai,IN_CATEGORY,1.0,structural
project:a-dataset-for-deep-learning-based-detection-of-printed-circuit-board-surface-def,modality:image,CONSUMES,1.0,structural
project:a-dataset-for-deep-learning-based-detection-of-printed-circuit-board-surface-def,modality:defect-label,PRODUCES,1.0,structural
project:a-dataset-for-deep-learning-based-detection-of-printed-circuit-board-surface-def,physicsdomain:none,OPERATES_ON,1.0,structural
project:a-dataset-for-deep-learning-based-detection-of-printed-circuit-board-surface-def,industry:electronics,APPLIED_TO,1.0,structural
project:a-dataset-for-deep-learning-based-detection-of-printed-circuit-board-surface-def,year:2024,RELEASED_IN,1.0,structural
project:a-deep-convolutional-generative-adversarial-networks-based-method-for-defect-det,organization:zhejiang-normal-university,BUILT_BY,1.0,structural
project:a-deep-convolutional-generative-adversarial-networks-based-method-for-defect-det,category:vision-inspection-ml,IN_CATEGORY,1.0,structural
project:a-deep-convolutional-generative-adversarial-networks-based-method-for-defect-det,technique:gan,USES_TECHNIQUE,1.0,structural
project:a-deep-convolutional-generative-adversarial-networks-based-method-for-defect-det,modality:x-ray,CONSUMES,1.0,structural
project:a-deep-convolutional-generative-adversarial-networks-based-method-for-defect-det,modality:defect-label,PRODUCES,1.0,structural
project:a-deep-convolutional-generative-adversarial-networks-based-method-for-defect-det,physicsdomain:none,OPERATES_ON,1.0,structural
project:a-deep-convolutional-generative-adversarial-networks-based-method-for-defect-det,industry:manufacturing,APPLIED_TO,1.0,structural
project:a-deep-convolutional-generative-adversarial-networks-based-method-for-defect-det,year:2022,RELEASED_IN,1.0,structural
